instance_id,budget,nodes,hull_vertices,hull_area,hull_perimeter,hull_compactness,density,budget_per_node,rad_0_5__degree_min,rad_0_5__degree_max,rad_0_5__degree_avg,rad_0_5__components,rad_0_5__component_largest,rad_0_5__component_avg_size,rad_0_5__clustering_avg,rad_1_0__degree_min,rad_1_0__degree_max,rad_1_0__degree_avg,rad_1_0__components,rad_1_0__component_largest,rad_1_0__component_avg_size,rad_1_0__clustering_avg,rad_2_0__degree_min,rad_2_0__degree_max,rad_2_0__degree_avg,rad_2_0__components,rad_2_0__component_largest,rad_2_0__component_avg_size,rad_2_0__clustering_avg,knn_3__degree_min,knn_3__degree_max,knn_3__degree_avg,knn_3__components,knn_3__component_largest,knn_3__component_avg_size,knn_3__clustering_avg,knn_5__degree_min,knn_5__degree_max,knn_5__degree_avg,knn_5__components,knn_5__component_largest,knn_5__component_avg_size,knn_5__clustering_avg,knn_8__degree_min,knn_8__degree_max,knn_8__degree_avg,knn_8__components,knn_8__component_largest,knn_8__component_avg_size,knn_8__clustering_avg,knn_12__degree_min,knn_12__degree_max,knn_12__degree_avg,knn_12__components,knn_12__component_largest,knn_12__component_avg_size,knn_12__clustering_avg,nng_plain__degree_min,nng_plain__degree_max,nng_plain__degree_avg,nng_plain__components,nng_plain__component_largest,nng_plain__component_avg_size,nng_plain__clustering_avg,nng_mut__degree_min,nng_mut__degree_max,nng_mut__degree_avg,nng_mut__components,nng_mut__component_largest,nng_mut__component_avg_size,nng_mut__clustering_avg,delaunay__degree_min,delaunay__degree_max,delaunay__degree_avg,delaunay__components,delaunay__component_largest,delaunay__component_avg_size,delaunay__clustering_avg,mst__degree_min,mst__degree_max,mst__degree_avg,mst__components,mst__component_largest,mst__component_avg_size,mst__clustering_avg,mst__mst_edge_sum,mst__mst_edge_max,mst__mst_leaves,mst__mst_diameter,mst__mst_edge_sum_per_sqrtA,mst__mst_edge_max_per_sqrtA,mst__mst_edge_sum_units_s,mst__mst_edge_sum_units_m
mix_clustered_n100_s42096,2.87859,100.0,11.0,0.4030338138655067,2.5728607750413577,0.7651010120788423,248.1181393712296,0.0287859,20.0,95.0,67.28,1.0,100.0,100.0,0.8672041973391829,98.0,99.0,98.98,1.0,100.0,100.0,0.9997979797979812,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,8.0,3.98,6.0,34.0,16.666666666666668,0.6104047619047616,5.0,11.0,6.52,4.0,34.0,25.0,0.7069502164502164,8.0,17.0,10.18,3.0,50.0,33.333333333333336,0.7360741088976381,12.0,24.0,14.52,2.0,83.0,50.0,0.8257982666964355,1.0,3.0,1.38,31.0,7.0,3.225806451612903,0.0,0.0,1.0,0.62,69.0,2.0,1.4492753623188406,0.0,4.0,11.0,5.72,1.0,100.0,100.0,0.4543571428571426,1.0,3.0,1.98,1.0,100.0,100.0,0.0,3.307038221747743,0.32579263577465967,23.0,1.6582109318819782,5.2091692983344595,0.513180943824686,0.5261787170034807,1.8194747920553225
mix_clustered_n100_s42104,2.706419,100.0,11.0,0.3732887566566117,2.3681710821579918,0.8364281220844341,267.88912930477034,0.02706419,39.0,99.0,75.94,1.0,100.0,100.0,0.8632196445592298,99.0,99.0,99.0,1.0,100.0,100.0,1.0,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,7.0,3.88,8.0,26.0,12.5,0.6694285714285714,5.0,9.0,6.08,6.0,42.0,16.666666666666668,0.7573015873015875,8.0,16.0,9.16,2.0,50.0,50.0,0.8198532856032859,12.0,22.0,14.44,1.0,100.0,100.0,0.769167377170473,1.0,3.0,1.42,29.0,8.0,3.4482758620689653,0.0,0.0,1.0,0.58,71.0,2.0,1.408450704225352,0.0,3.0,11.0,5.72,1.0,100.0,100.0,0.45852380952380933,1.0,3.0,1.98,1.0,100.0,100.0,0.0,3.300690979904993,0.26842250557097486,25.0,1.8844410863404502,5.402346199261245,0.43933567595269896,0.5456915352789137,1.9353545421851959
mix_clustered_n100_s42126,25.0,100.0,18.0,0.8557566145489439,3.48422603330825,0.8858240883890603,116.85565533455848,0.25,18.0,73.0,40.62,1.0,100.0,100.0,0.7673624071158193,72.0,99.0,93.3,1.0,100.0,100.0,0.9591366828512647,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,7.0,3.92,8.0,27.0,12.5,0.6637142857142857,5.0,9.0,6.26,4.0,51.0,25.0,0.6852301587301587,8.0,15.0,9.5,1.0,100.0,100.0,0.7727138417138422,12.0,22.0,14.42,1.0,100.0,100.0,0.7699110164860936,1.0,3.0,1.46,27.0,9.0,3.7037037037037037,0.0,0.0,1.0,0.54,73.0,2.0,1.36986301369863,0.0,3.0,9.0,5.62,1.0,100.0,100.0,0.4790158730158728,1.0,3.0,1.98,1.0,100.0,100.0,0.0,5.351204697420838,0.26136466835438943,23.0,3.3859347293030027,5.784641271907933,0.2825346689335269,0.5843071991826195,1.6401687704554313
mix_clustered_n100_s42124,4.391695,100.0,12.0,0.8230172304771474,3.363773747523058,0.9140400765012971,121.50413903488341,0.04391695,27.0,84.0,53.74,1.0,100.0,100.0,0.7721044905366117,84.0,99.0,97.08,1.0,100.0,100.0,0.9832808510578174,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,6.0,3.94,1.0,100.0,100.0,0.5426666666666666,5.0,10.0,6.12,1.0,100.0,100.0,0.6050634920634923,8.0,14.0,9.62,1.0,100.0,100.0,0.6334225219225221,12.0,22.0,14.12,1.0,100.0,100.0,0.6643068157332865,1.0,3.0,1.24,38.0,6.0,2.6315789473684212,0.0,0.0,1.0,0.76,62.0,2.0,1.6129032258064515,0.0,3.0,9.0,5.68,1.0,100.0,100.0,0.4446666666666662,1.0,4.0,1.98,1.0,100.0,100.0,0.0,6.239419341415387,0.1373357810222813,25.0,2.1329656570213817,6.8776442993459,0.15138374258234152,0.6947115453884748,1.608692481405941
mix_clustered_n100_s42133,16.0,100.0,10.0,0.24621562798213784,2.138724491452312,0.6764189934754066,406.1480614352176,0.16,37.0,94.0,71.1,1.0,100.0,100.0,0.8806956371713407,99.0,99.0,99.0,1.0,100.0,100.0,1.0,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,6.0,4.02,6.0,20.0,16.666666666666668,0.5913333333333329,5.0,10.0,6.32,5.0,20.0,20.0,0.646277777777778,8.0,17.0,10.08,5.0,20.0,20.0,0.7469399652634947,12.0,19.0,14.66,5.0,20.0,20.0,0.8561442164646492,1.0,3.0,1.48,26.0,7.0,3.8461538461538463,0.0,0.0,1.0,0.52,74.0,2.0,1.3513513513513513,0.0,3.0,13.0,5.74,1.0,100.0,100.0,0.44778571428571395,1.0,3.0,1.98,1.0,100.0,100.0,0.0,2.42042427983888,0.2954806543735139,26.0,1.2677121019910982,4.877908989518131,0.5954855734190568,0.49271807974930626,1.8855116692347753
mix_clustered_n100_s42130,1.88223,100.0,7.0,0.11022820724158638,1.3295014410716894,0.7836551342359677,907.2088034674347,0.0188223,95.0,99.0,98.92,1.0,100.0,100.0,0.9992166563595155,99.0,99.0,99.0,1.0,100.0,100.0,1.0,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,6.0,3.78,4.0,58.0,25.0,0.5633333333333337,5.0,11.0,6.22,2.0,94.0,50.0,0.6567994227994227,8.0,16.0,9.92,1.0,100.0,100.0,0.6468806193806194,12.0,25.0,14.78,1.0,100.0,100.0,0.6831246401001819,1.0,3.0,1.4,30.0,6.0,3.3333333333333335,0.0,0.0,1.0,0.6,70.0,2.0,1.4285714285714286,0.0,3.0,9.0,5.8,1.0,100.0,100.0,0.46176190476190454,1.0,3.0,1.98,1.0,100.0,100.0,0.0,2.0298336500961938,0.07973852361938995,20.0,0.860867820035401,6.113840096108918,0.24017169233826194,0.6175596056675674,1.520171685584257
mix_clustered_n100_s42143,3.909348,100.0,14.0,0.6756106123624261,3.3068250638231347,0.776397065870292,148.01425284059297,0.03909348,20.0,80.0,52.1,1.0,100.0,100.0,0.8304753767717663,51.0,99.0,91.86,1.0,100.0,100.0,0.9549384447148073,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,6.0,3.86,1.0,100.0,100.0,0.5680000000000002,5.0,11.0,6.24,1.0,100.0,100.0,0.6278232323232323,8.0,14.0,9.6,1.0,100.0,100.0,0.6800578310578309,12.0,22.0,14.06,1.0,100.0,100.0,0.7217831253713607,1.0,4.0,1.38,31.0,7.0,3.225806451612903,0.0,0.0,1.0,0.62,69.0,2.0,1.4492753623188406,0.0,3.0,8.0,5.64,1.0,100.0,100.0,0.45204761904761886,1.0,4.0,1.98,1.0,100.0,100.0,0.0,5.253141246069927,0.17396651341278294,24.0,2.805292713989743,6.391029862967284,0.2116495883694718,0.6455585720168974,1.5859570353338506
mix_clustered_n100_s42135,3.204995,100.0,12.0,0.4025288008204345,2.7222966087546316,0.6825523074598661,248.42942864257148,0.03204995,36.0,76.0,55.96,1.0,100.0,100.0,0.8428572969797056,75.0,99.0,93.24,1.0,100.0,100.0,0.958566764449741,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,7.0,3.86,3.0,79.0,33.333333333333336,0.6060952380952381,5.0,10.0,6.4,1.0,100.0,100.0,0.6609603174603176,8.0,16.0,9.9,1.0,100.0,100.0,0.6982706460206455,12.0,21.0,14.88,1.0,100.0,100.0,0.7302018885826932,1.0,4.0,1.4,30.0,8.0,3.3333333333333335,0.0,0.0,1.0,0.6,70.0,2.0,1.4285714285714286,0.0,3.0,10.0,5.64,1.0,100.0,100.0,0.4955714285714285,1.0,4.0,1.98,1.0,100.0,100.0,0.0,3.77144604911436,0.12731066549586487,22.0,2.2362215218794694,5.944419083598574,0.20066254154609167,0.6004463720806641,1.6724735278977059
mix_clustered_n100_s42159,3.74115,100.0,15.0,0.8593442458469146,3.472127831659943,0.8957475423864469,116.36780077749448,0.0374115,16.0,73.0,48.54,1.0,100.0,100.0,0.7946109395737095,76.0,99.0,94.88,1.0,100.0,100.0,0.9651051115436954,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,6.0,3.7,2.0,92.0,50.0,0.5073333333333334,5.0,9.0,6.16,1.0,100.0,100.0,0.6175634920634918,8.0,15.0,9.2,1.0,100.0,100.0,0.6609816294816295,12.0,23.0,14.38,1.0,100.0,100.0,0.6558665542105103,1.0,3.0,1.4,30.0,6.0,3.3333333333333335,0.0,0.0,1.0,0.6,70.0,2.0,1.4285714285714286,0.0,3.0,10.0,5.64,1.0,100.0,100.0,0.44587301587301575,1.0,3.0,1.98,1.0,100.0,100.0,0.0,6.249701464535353,0.21591112442854812,18.0,3.5659278226373012,6.741797222772677,0.23291176823377005,0.6809896184618864,1.555957251837948
mix_clustered_n100_s42148,22.5,100.0,12.0,0.4418141669742335,2.6874592548507157,0.768715653095683,226.3395053283386,0.225,30.0,83.0,55.92,1.0,100.0,100.0,0.8476504313476422,99.0,99.0,99.0,1.0,100.0,100.0,1.0,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,7.0,4.18,5.0,34.0,20.0,0.5932857142857142,5.0,10.0,6.46,4.0,34.0,25.0,0.6727857142857142,8.0,17.0,10.02,2.0,67.0,50.0,0.7153748653307475,12.0,25.0,14.52,2.0,67.0,50.0,0.7826102205156381,1.0,3.0,1.34,33.0,9.0,3.0303030303030303,0.0,0.0,1.0,0.66,67.0,2.0,1.492537313432836,0.0,3.0,9.0,5.7,1.0,100.0,100.0,0.45455555555555544,1.0,4.0,1.98,1.0,100.0,100.0,0.0,3.71233926958041,0.25995834420922137,26.0,1.7053455020621509,5.585059968101207,0.3910965125180751,0.5641474715253745,1.7156554311842156
mix_clustered_n100_s42162,25.0,100.0,14.0,0.691040812813367,3.0647945544691484,0.9245083264192783,144.70925326809535,0.25,24.0,90.0,63.32,1.0,100.0,100.0,0.820400908112214,92.0,99.0,98.6,1.0,100.0,100.0,0.9962311001642041,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,6.0,3.88,1.0,100.0,100.0,0.5246666666666666,5.0,9.0,6.32,1.0,100.0,100.0,0.5635952380952381,8.0,14.0,9.88,1.0,100.0,100.0,0.6476449106449106,12.0,21.0,14.5,1.0,100.0,100.0,0.676081201650087,1.0,3.0,1.38,31.0,8.0,3.225806451612903,0.0,0.0,1.0,0.62,69.0,2.0,1.4492753623188406,0.0,3.0,10.0,5.72,1.0,100.0,100.0,0.4676269841269839,1.0,4.0,1.98,1.0,100.0,100.0,0.0,5.623594963848127,0.16454572948575727,24.0,2.3122973561205944,6.764912514490673,0.1979405472407095,0.6833244964131991,1.654749101498745
mix_clustered_n100_s42167,2.667054,100.0,12.0,0.16162040359798677,1.5468149636851027,0.8488468112031435,618.7337599325588,0.02667054,91.0,99.0,98.42,1.0,100.0,100.0,0.994628463345012,99.0,99.0,99.0,1.0,100.0,100.0,1.0,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,6.0,3.84,1.0,100.0,100.0,0.5483333333333335,5.0,11.0,6.1,1.0,100.0,100.0,0.5948362193362194,8.0,14.0,9.86,1.0,100.0,100.0,0.617639194139194,12.0,20.0,14.7,1.0,100.0,100.0,0.6468676181919218,1.0,3.0,1.44,28.0,9.0,3.5714285714285716,0.0,0.0,1.0,0.56,72.0,2.0,1.3888888888888888,0.0,3.0,10.0,5.66,1.0,100.0,100.0,0.4880079365079363,1.0,3.0,1.98,1.0,100.0,100.0,0.0,2.774094006545283,0.08850734078594835,23.0,0.9710510177336663,6.900381157199592,0.22015634120264685,0.6970081976969285,1.354336175390303
mix_clustered_n100_s42171,20.0,100.0,11.0,0.5979021631741912,3.1879345199930818,0.7393008471321293,167.2514437297098,0.2,24.0,68.0,41.3,1.0,100.0,100.0,0.8945745707110393,54.0,99.0,86.4,1.0,100.0,100.0,0.9277838784798242,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,7.0,3.82,3.0,50.0,33.333333333333336,0.6246190476190476,5.0,9.0,6.24,3.0,50.0,33.333333333333336,0.6143730158730158,8.0,15.0,9.9,3.0,50.0,33.333333333333336,0.6763824508824509,12.0,24.0,14.8,2.0,75.0,50.0,0.733983943275133,1.0,3.0,1.38,31.0,7.0,3.225806451612903,0.0,0.0,1.0,0.62,69.0,2.0,1.4492753623188406,0.0,3.0,11.0,5.74,1.0,100.0,100.0,0.4684430014430012,1.0,4.0,1.98,1.0,100.0,100.0,0.0,4.283737355278413,0.38316973030890633,21.0,2.5843197952967105,5.539974594889831,0.49553704986756014,0.5595933934232152,1.7528293380312454
mix_clustered_n100_s42169,1.979091,100.0,9.0,0.4108993894967369,2.713854670333455,0.7010874386486967,243.3685777009268,0.01979091,33.0,65.0,51.56,2.0,66.0,50.0,0.9722288050543768,84.0,99.0,97.92,1.0,100.0,100.0,0.9906714621095318,99.0,99.0,99.0,1.0,100.0,100.0,1.0,3.0,6.0,4.0,3.0,34.0,33.333333333333336,0.5150000000000001,5.0,10.0,6.6,3.0,34.0,33.333333333333336,0.6443412698412697,8.0,17.0,10.4,3.0,34.0,33.333333333333336,0.6681244392862038,12.0,25.0,15.36,2.0,66.0,50.0,0.7414482498245387,1.0,3.0,1.34,33.0,6.0,3.0303030303030303,0.0,0.0,1.0,0.66,67.0,2.0,1.492537313432836,0.0,3.0,10.0,5.7,1.0,100.0,100.0,0.4658730158730156,1.0,3.0,1.98,1.0,100.0,100.0,0.0,3.018369021558489,0.6137027182936378,23.0,1.8903064998774288,4.708738655806293,0.9573931126918886,0.47563016725316104,2.238205875090505
