instance_id,budget,nodes,hull_vertices,hull_area,hull_perimeter,hull_compactness,density,budget_per_node,rad_0_5__degree_min,rad_0_5__degree_max,rad_0_5__degree_avg,rad_0_5__component_largest,rad_0_5__clustering_avg,rad_1_0__degree_min,rad_1_0__clustering_avg,knn_3__degree_max,knn_3__degree_avg,knn_3__components,knn_3__component_largest,knn_3__component_avg_size,knn_3__clustering_avg,knn_5__degree_max,knn_5__degree_avg,knn_5__components,knn_5__component_largest,knn_5__component_avg_size,knn_5__clustering_avg,knn_8__degree_max,knn_8__degree_avg,knn_8__components,knn_8__component_largest,knn_8__component_avg_size,knn_8__clustering_avg,knn_12__degree_max,knn_12__degree_avg,knn_12__components,knn_12__component_largest,knn_12__component_avg_size,knn_12__clustering_avg,nng_plain__degree_max,nng_plain__degree_avg,nng_plain__components,nng_plain__component_largest,nng_plain__component_avg_size,nng_plain__clustering_avg,delaunay__degree_max,delaunay__degree_avg,delaunay__clustering_avg,mst__degree_avg,mst__mst_edge_sum,mst__mst_edge_max,mst__mst_leaves,mst__mst_diameter,mst__mst_edge_sum_per_sqrtA,mst__mst_edge_max_per_sqrtA,mst__mst_edge_sum_units_s,mst__mst_edge_sum_units_m
mix_clustered_n100_s42096,2.87859,100.0,11.0,0.4030338138655067,2.5728607750413577,0.7651010120788423,248.1181393712296,0.0287859,20.0,95.0,67.28,100.0,0.8672041973391829,98.0,0.9997979797979812,8.0,3.98,6.0,34.0,16.666666666666668,0.6104047619047616,11.0,6.52,4.0,34.0,25.0,0.7069502164502164,17.0,10.18,3.0,50.0,33.333333333333336,0.7360741088976381,24.0,14.52,2.0,83.0,50.0,0.8257982666964355,3.0,1.38,31.0,7.0,3.225806451612903,0.0,11.0,5.72,0.4543571428571426,1.98,3.307038221747743,0.3257926357746596,23.0,1.6582109318819782,5.20916929833446,0.513180943824686,0.5261787170034807,1.8194747920553225
mix_clustered_n100_s42104,2.706419,100.0,11.0,0.3732887566566117,2.368171082157992,0.8364281220844341,267.88912930477034,0.02706419,39.0,99.0,75.94,100.0,0.8632196445592298,99.0,1.0,7.0,3.88,8.0,26.0,12.5,0.6694285714285714,9.0,6.08,6.0,42.0,16.666666666666668,0.7573015873015875,16.0,9.16,2.0,50.0,50.0,0.8198532856032859,22.0,14.44,1.0,100.0,100.0,0.769167377170473,3.0,1.42,29.0,8.0,3.4482758620689653,0.0,11.0,5.72,0.4585238095238093,1.98,3.300690979904993,0.2684225055709748,25.0,1.8844410863404504,5.402346199261245,0.4393356759526989,0.5456915352789137,1.935354542185196
mix_clustered_n100_s42126,25.0,100.0,18.0,0.8557566145489439,3.48422603330825,0.8858240883890603,116.85565533455848,0.25,18.0,73.0,40.62,100.0,0.7673624071158193,72.0,0.9591366828512649,7.0,3.92,8.0,27.0,12.5,0.6637142857142857,9.0,6.26,4.0,51.0,25.0,0.6852301587301587,15.0,9.5,1.0,100.0,100.0,0.7727138417138422,22.0,14.42,1.0,100.0,100.0,0.7699110164860936,3.0,1.46,27.0,9.0,3.703703703703704,0.0,9.0,5.62,0.4790158730158728,1.98,5.351204697420838,0.2613646683543894,23.0,3.3859347293030027,5.784641271907933,0.2825346689335269,0.5843071991826195,1.6401687704554313
mix_clustered_n100_s42124,4.391695,100.0,12.0,0.8230172304771474,3.363773747523058,0.9140400765012971,121.5041390348834,0.04391695,27.0,84.0,53.74,100.0,0.7721044905366117,84.0,0.9832808510578174,6.0,3.94,1.0,100.0,100.0,0.5426666666666666,10.0,6.12,1.0,100.0,100.0,0.6050634920634923,14.0,9.62,1.0,100.0,100.0,0.6334225219225221,22.0,14.12,1.0,100.0,100.0,0.6643068157332865,3.0,1.24,38.0,6.0,2.631578947368421,0.0,9.0,5.68,0.4446666666666662,1.98,6.239419341415387,0.1373357810222813,25.0,2.1329656570213817,6.8776442993459,0.1513837425823415,0.6947115453884748,1.608692481405941
mix_clustered_n100_s42133,16.0,100.0,10.0,0.2462156279821378,2.138724491452312,0.6764189934754066,406.1480614352176,0.16,37.0,94.0,71.1,100.0,0.8806956371713407,99.0,1.0,6.0,4.02,6.0,20.0,16.666666666666668,0.5913333333333329,10.0,6.32,5.0,20.0,20.0,0.646277777777778,17.0,10.08,5.0,20.0,20.0,0.7469399652634947,19.0,14.66,5.0,20.0,20.0,0.8561442164646492,3.0,1.48,26.0,7.0,3.8461538461538463,0.0,13.0,5.74,0.4477857142857139,1.98,2.42042427983888,0.2954806543735139,26.0,1.2677121019910982,4.877908989518131,0.5954855734190568,0.4927180797493062,1.8855116692347755
mix_clustered_n100_s42130,1.88223,100.0,7.0,0.1102282072415863,1.3295014410716894,0.7836551342359677,907.2088034674348,0.0188223,95.0,99.0,98.92,100.0,0.9992166563595156,99.0,1.0,6.0,3.78,4.0,58.0,25.0,0.5633333333333337,11.0,6.22,2.0,94.0,50.0,0.6567994227994227,16.0,9.92,1.0,100.0,100.0,0.6468806193806194,25.0,14.78,1.0,100.0,100.0,0.6831246401001819,3.0,1.4,30.0,6.0,3.333333333333333,0.0,9.0,5.8,0.4617619047619045,1.98,2.0298336500961938,0.0797385236193899,20.0,0.860867820035401,6.113840096108918,0.2401716923382619,0.6175596056675674,1.520171685584257
mix_clustered_n100_s42143,3.909348,100.0,14.0,0.6756106123624261,3.3068250638231347,0.776397065870292,148.01425284059297,0.03909348,20.0,80.0,52.1,100.0,0.8304753767717663,51.0,0.9549384447148072,6.0,3.86,1.0,100.0,100.0,0.5680000000000002,11.0,6.24,1.0,100.0,100.0,0.6278232323232323,14.0,9.6,1.0,100.0,100.0,0.6800578310578309,22.0,14.06,1.0,100.0,100.0,0.7217831253713607,4.0,1.38,31.0,7.0,3.225806451612903,0.0,8.0,5.64,0.4520476190476188,1.98,5.253141246069927,0.1739665134127829,24.0,2.805292713989743,6.391029862967284,0.2116495883694718,0.6455585720168974,1.5859570353338506
mix_clustered_n100_s42135,3.204995,100.0,12.0,0.4025288008204345,2.722296608754632,0.6825523074598661,248.42942864257148,0.03204995,36.0,76.0,55.96,100.0,0.8428572969797056,75.0,0.958566764449741,7.0,3.86,3.0,79.0,33.333333333333336,0.6060952380952381,10.0,6.4,1.0,100.0,100.0,0.6609603174603176,16.0,9.9,1.0,100.0,100.0,0.6982706460206455,21.0,14.88,1.0,100.0,100.0,0.7302018885826932,4.0,1.4,30.0,8.0,3.333333333333333,0.0,10.0,5.64,0.4955714285714285,1.98,3.77144604911436,0.1273106654958648,22.0,2.236221521879469,5.944419083598574,0.2006625415460916,0.6004463720806641,1.672473527897706
mix_clustered_n100_s42159,3.74115,100.0,15.0,0.8593442458469146,3.472127831659943,0.8957475423864469,116.36780077749448,0.0374115,16.0,73.0,48.54,100.0,0.7946109395737095,76.0,0.9651051115436954,6.0,3.7,2.0,92.0,50.0,0.5073333333333334,9.0,6.16,1.0,100.0,100.0,0.6175634920634918,15.0,9.2,1.0,100.0,100.0,0.6609816294816295,23.0,14.38,1.0,100.0,100.0,0.6558665542105103,3.0,1.4,30.0,6.0,3.333333333333333,0.0,10.0,5.64,0.4458730158730157,1.98,6.249701464535353,0.2159111244285481,18.0,3.565927822637301,6.741797222772677,0.23291176823377,0.6809896184618864,1.555957251837948
mix_clustered_n100_s42148,22.5,100.0,12.0,0.4418141669742335,2.687459254850716,0.768715653095683,226.3395053283386,0.225,30.0,83.0,55.92,100.0,0.8476504313476422,99.0,1.0,7.0,4.18,5.0,34.0,20.0,0.5932857142857142,10.0,6.46,4.0,34.0,25.0,0.6727857142857142,17.0,10.02,2.0,67.0,50.0,0.7153748653307475,25.0,14.52,2.0,67.0,50.0,0.7826102205156381,3.0,1.34,33.0,9.0,3.0303030303030303,0.0,9.0,5.7,0.4545555555555554,1.98,3.71233926958041,0.2599583442092213,26.0,1.7053455020621509,5.585059968101207,0.3910965125180751,0.5641474715253745,1.7156554311842156
mix_clustered_n100_s42162,25.0,100.0,14.0,0.691040812813367,3.0647945544691484,0.9245083264192784,144.70925326809535,0.25,24.0,90.0,63.32,100.0,0.820400908112214,92.0,0.996231100164204,6.0,3.88,1.0,100.0,100.0,0.5246666666666666,9.0,6.32,1.0,100.0,100.0,0.5635952380952381,14.0,9.88,1.0,100.0,100.0,0.6476449106449106,21.0,14.5,1.0,100.0,100.0,0.676081201650087,3.0,1.38,31.0,8.0,3.225806451612903,0.0,10.0,5.72,0.4676269841269839,1.98,5.623594963848127,0.1645457294857572,24.0,2.3122973561205944,6.764912514490673,0.1979405472407095,0.6833244964131991,1.654749101498745
mix_clustered_n100_s42167,2.667054,100.0,12.0,0.1616204035979867,1.5468149636851027,0.8488468112031435,618.7337599325588,0.02667054,91.0,99.0,98.42,100.0,0.994628463345012,99.0,1.0,6.0,3.84,1.0,100.0,100.0,0.5483333333333335,11.0,6.1,1.0,100.0,100.0,0.5948362193362194,14.0,9.86,1.0,100.0,100.0,0.617639194139194,20.0,14.7,1.0,100.0,100.0,0.6468676181919218,3.0,1.44,28.0,9.0,3.571428571428572,0.0,10.0,5.66,0.4880079365079363,1.98,2.774094006545283,0.0885073407859483,23.0,0.9710510177336664,6.900381157199592,0.2201563412026468,0.6970081976969285,1.354336175390303
mix_clustered_n100_s42171,20.0,100.0,11.0,0.5979021631741912,3.1879345199930818,0.7393008471321293,167.2514437297098,0.2,24.0,68.0,41.3,100.0,0.8945745707110393,54.0,0.9277838784798242,7.0,3.82,3.0,50.0,33.333333333333336,0.6246190476190476,9.0,6.24,3.0,50.0,33.333333333333336,0.6143730158730158,15.0,9.9,3.0,50.0,33.333333333333336,0.6763824508824509,24.0,14.8,2.0,75.0,50.0,0.733983943275133,3.0,1.38,31.0,7.0,3.225806451612903,0.0,11.0,5.74,0.4684430014430012,1.98,4.283737355278413,0.3831697303089063,21.0,2.5843197952967105,5.539974594889831,0.4955370498675601,0.5595933934232152,1.7528293380312454
mix_clustered_n100_s42169,1.979091,100.0,9.0,0.4108993894967369,2.713854670333455,0.7010874386486967,243.3685777009268,0.01979091,33.0,65.0,51.56,66.0,0.9722288050543768,84.0,0.9906714621095318,6.0,4.0,3.0,34.0,33.333333333333336,0.5150000000000001,10.0,6.6,3.0,34.0,33.333333333333336,0.6443412698412697,17.0,10.4,3.0,34.0,33.333333333333336,0.6681244392862038,25.0,15.36,2.0,66.0,50.0,0.7414482498245387,3.0,1.34,33.0,6.0,3.0303030303030303,0.0,10.0,5.7,0.4658730158730156,1.98,3.018369021558489,0.6137027182936378,23.0,1.8903064998774288,4.708738655806293,0.9573931126918886,0.475630167253161,2.238205875090505
mix_clustered_n100_s42190,22.5,100.0,16.0,0.650883987451045,3.093128244145328,0.8549044903642931,153.6372102064061,0.225,16.0,89.0,53.38,100.0,0.8465848177787436,84.0,0.9896305222288714,7.0,3.86,8.0,18.0,12.5,0.6384761904761903,10.0,6.18,4.0,67.0,25.0,0.6933412698412696,15.0,9.42,2.0,84.0,50.0,0.7462399822399824,21.0,14.44,1.0,100.0,100.0,0.7449173799197015,3.0,1.34,33.0,7.0,3.0303030303030303,0.0,14.0,5.62,0.4741562881562878,1.98,4.504779511599491,0.325171727591745,17.0,2.2329085930443444,5.583695741873386,0.4030519109884163,0.5640096708963018,2.036676341222823
mix_clustered_n100_s42201,22.5,100.0,9.0,0.2375230572540776,1.9112002385082665,0.8171527690962118,421.01175842070063,0.225,19.0,98.0,74.44,100.0,0.9233434955487586,99.0,1.0,7.0,3.9,2.0,80.0,50.0,0.5748095238095238,10.0,6.36,2.0,80.0,50.0,0.6214206349206346,16.0,9.98,2.0,80.0,50.0,0.666674630924631,22.0,14.66,2.0,80.0,50.0,0.7238578410753334,3.0,1.42,29.0,6.0,3.4482758620689653,0.0,10.0,5.76,0.4702063492063489,1.98,2.6143122253339044,0.352726713014481,26.0,1.4259337034315354,5.364195117340957,0.7237448126404805,0.5418378906405007,1.649622346396873
mix_clustered_n100_s42214,20.0,100.0,9.0,0.240872675929346,1.8971200685027705,0.8410227910390707,415.1570933239953,0.2,67.0,99.0,97.12,100.0,0.9847316156826794,99.0,1.0,6.0,3.9,1.0,100.0,100.0,0.6069999999999998,10.0,6.4,1.0,100.0,100.0,0.5750793650793651,15.0,9.88,1.0,100.0,100.0,0.5884744699744698,21.0,14.66,1.0,100.0,100.0,0.6166634390721079,3.0,1.28,36.0,5.0,2.7777777777777777,0.0,9.0,5.78,0.4611428571428569,1.98,3.273406667012788,0.1573412075458936,24.0,1.2304696836375952,6.669698371123103,0.3205890689521497,0.6737069061740508,1.7938463203376185
mix_clustered_n100_s42221,30.0,100.0,10.0,0.2636899376873485,2.028899379947828,0.8049750185699475,379.23328010554513,0.3,55.0,99.0,82.28,100.0,0.9049808603580218,99.0,1.0,7.0,3.94,2.0,51.0,50.0,0.5349999999999999,11.0,6.52,1.0,100.0,100.0,0.5749985569985572,15.0,10.3,1.0,100.0,100.0,0.6165081585081587,23.0,15.28,1.0,100.0,100.0,0.6532422327937537,3.0,1.34,33.0,10.0,3.0303030303030303,0.0,9.0,5.74,0.4449285714285711,1.98,3.5508887421947497,0.0959140928643961,25.0,1.4393575697677947,6.914969776114644,0.186782268162762,0.6984817955671357,1.607701239691517
mix_clustered_n100_s42228,3.91411,100.0,14.0,0.5142067092259611,2.7904152529248107,0.8298697391937011,194.4743197741054,0.0391411,18.0,94.0,61.84,100.0,0.8328298323404428,93.0,0.9982676210794094,7.0,3.94,5.0,52.0,20.0,0.6212857142857141,12.0,6.44,3.0,67.0,33.333333333333336,0.6433441558441558,16.0,9.98,3.0,67.0,33.333333333333336,0.690126651126651,24.0,14.54,2.0,84.0,50.0,0.7648039436782536,3.0,1.5,25.0,10.0,4.0,0.0,9.0,5.66,0.4688095238095235,1.98,4.440364884064048,0.2580506160736688,25.0,2.263768300204515,6.192268652233153,0.3598620343875739,0.6254816820437528,1.538146124033392
mix_clustered_n100_s42242,2.562165,100.0,11.0,0.3377573149548386,2.5896938763827184,0.6328747485108163,296.0705677488316,0.02562165,49.0,51.0,49.04,100.0,0.998447699079632,83.0,0.9959178783274312,8.0,4.0,3.0,50.0,33.333333333333336,0.5108571428571427,10.0,6.52,2.0,50.0,50.0,0.5905079365079363,15.0,10.18,2.0,50.0,50.0,0.6702132867132865,22.0,14.98,2.0,50.0,50.0,0.7149184674115016,3.0,1.48,26.0,9.0,3.8461538461538463,0.0,9.0,5.72,0.4684603174603172,1.98,3.2130895464122,0.4899803542714748,23.0,1.582017139995105,5.528667189986815,0.8430945572069954,0.5584512313117995,1.5693056770081504
mix_clustered_n100_s42260,16.0,100.0,12.0,0.3925593783413161,2.747878634291805,0.6533112347277802,254.7385326075528,0.16,33.0,65.0,49.32,100.0,0.91599605383207,66.0,0.9332444016106664,7.0,3.96,3.0,34.0,33.333333333333336,0.5516666666666664,10.0,6.5,3.0,34.0,33.333333333333336,0.6027698412698412,17.0,10.36,3.0,34.0,33.333333333333336,0.6591843499637616,24.0,15.3,3.0,34.0,33.333333333333336,0.7364954178051499,3.0,1.34,33.0,6.0,3.0303030303030303,0.0,9.0,5.72,0.4610634920634918,1.98,3.2247180203394032,0.4166035640089988,25.0,1.7005212417400437,5.146821019287834,0.6649213873670924,0.5198809110391751,1.558254276601183
mix_clustered_n100_s42271,3.006521,100.0,15.0,0.3922036937529677,2.585157300097201,0.7374754977707183,254.96955177323167,0.03006521,33.0,81.0,53.62,100.0,0.8785033164406115,85.0,0.9866884382271456,7.0,4.02,4.0,34.0,25.0,0.5743333333333335,9.0,6.3,3.0,34.0,33.333333333333336,0.6143492063492061,14.0,10.16,3.0,34.0,33.333333333333336,0.6714422244422245,27.0,15.06,3.0,34.0,33.333333333333336,0.7266357555470561,3.0,1.42,29.0,8.0,3.4482758620689653,0.0,11.0,5.64,0.4510238095238092,1.98,3.225733450241487,0.2863267801516301,20.0,1.7616876328718838,5.150775698682444,0.4571999031651544,0.5202803736042872,1.9184865345134787
mix_clustered_n100_s42312,1.920243,100.0,10.0,0.1743122660368825,2.169344781432588,0.4654581616223108,573.6830934137538,0.01920243,27.0,99.0,70.94,100.0,0.9199215126994108,99.0,1.0,7.0,4.0,4.0,25.0,25.0,0.5866666666666664,11.0,6.74,4.0,25.0,25.0,0.6451277056277057,18.0,10.58,3.0,50.0,33.333333333333336,0.6892250380338616,24.0,15.16,3.0,50.0,33.333333333333336,0.7648567078589285,3.0,1.46,27.0,9.0,3.703703703703704,0.0,11.0,5.74,0.4637308802308803,1.98,2.2600138932338987,0.3453973362867756,24.0,1.2989613518405614,5.413113516126733,0.8272847326671788,0.5467791430431044,1.8054969980233944
mix_clustered_n100_s42330,2.308927,100.0,14.0,0.5729232258797733,2.8858345874522198,0.8644968678595748,174.54345623087863,0.02308927,25.0,91.0,50.3,100.0,0.8110142471236866,94.0,0.9975128704353358,6.0,3.88,4.0,51.0,25.0,0.5689999999999998,12.0,6.42,3.0,51.0,33.333333333333336,0.6839689754689751,16.0,9.88,3.0,51.0,33.333333333333336,0.7220967920967926,24.0,14.5,2.0,83.0,50.0,0.7604711590327081,3.0,1.3,35.0,8.0,2.857142857142857,0.0,10.0,5.64,0.461333333333333,1.98,4.438972130344244,0.2596807479675765,22.0,2.564988818977424,5.864543392977193,0.3430769489103606,0.5923781205027469,1.8549851825239363
mix_clustered_n100_s42343,25.0,100.0,10.0,0.4108772895015664,2.618017702303544,0.7533153960295353,243.381667848592,0.25,37.0,98.0,67.28,100.0,0.8687946082326415,99.0,1.0,6.0,3.78,6.0,46.0,16.666666666666668,0.6166666666666665,11.0,6.3,4.0,62.0,25.0,0.6881406926406924,13.0,9.5,3.0,75.0,33.333333333333336,0.7754892884892888,25.0,13.42,1.0,100.0,100.0,0.8496643928072046,3.0,1.5,25.0,8.0,4.0,0.0,11.0,5.74,0.4529206349206347,1.98,3.776493937764433,0.1618173046988485,24.0,1.9051842996322363,5.89159280790453,0.2524462330058956,0.5951103846368213,1.5368546213147831
mix_clustered_n100_s42363,25.0,100.0,13.0,0.7454479691263869,3.429978858925742,0.7962405911146307,134.14752489995115,0.25,19.0,59.0,32.64,100.0,0.8916934404217897,79.0,0.9229649711832754,7.0,3.88,6.0,34.0,16.666666666666668,0.6134761904761906,10.0,6.26,4.0,40.0,25.0,0.676769841269841,19.0,9.74,4.0,40.0,25.0,0.7190531023843715,20.0,14.42,4.0,40.0,25.0,0.8102284860822011,3.0,1.36,32.0,6.0,3.125,0.0,11.0,5.62,0.4676666666666664,1.98,3.9951433823420457,0.4831346166525433,21.0,2.124761791069178,4.627257866810266,0.5595765262180126,0.4673997845262895,1.884407202903784
mix_clustered_n100_s42385,2.014426,100.0,16.0,0.4246260229614049,2.5818209134995977,0.8005053547836297,235.50134610824168,0.0201442599999999,25.0,96.0,60.56,100.0,0.8512977994408328,92.0,0.998672438672437,7.0,3.88,4.0,40.0,25.0,0.570142857142857,10.0,6.38,4.0,40.0,25.0,0.6238571428571429,19.0,10.16,4.0,40.0,25.0,0.7112763680248203,22.0,14.78,4.0,40.0,25.0,0.7911254534938739,3.0,1.4,30.0,7.0,3.333333333333333,0.0,10.0,5.7,0.4713730158730156,1.98,3.5404204150880543,0.2939869933517468,24.0,1.5713946572812203,5.433147972781795,0.4511540014135671,0.5488028255335146,1.9844160401367916
mix_clustered_n100_s42386,16.0,100.0,12.0,0.5315357665287116,2.9770440547943178,0.7536536975469952,188.1340942549693,0.16,32.0,72.0,52.84,100.0,0.960746728261507,66.0,0.9696445550223284,7.0,3.76,2.0,67.0,50.0,0.5468095238095237,11.0,6.26,2.0,67.0,50.0,0.6472886002886,15.0,10.1,2.0,67.0,50.0,0.6594930069930072,23.0,15.08,2.0,67.0,50.0,0.6927637305635688,3.0,1.38,31.0,6.0,3.225806451612903,0.0,11.0,5.72,0.4839978354978352,1.98,4.069603928641202,0.3227607348749224,20.0,2.136101170868977,5.581949425776572,0.4427050224761908,0.5638332753309668,1.6663663769359882
